Student_ID,Gender,Age,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Sleep_Hours,Final_Score
1001,Male,21,3.0,100.0,77.4,94.4,74.9,7.6,79.5
1002,Female,21,2.9,81.8,78.0,76.5,89.4,7.4,77.5
1003,Male,17,4.2,86.7,69.4,79.2,89.5,5.1,77.7
1004,Male,19,4.4,98.0,77.3,100.0,97.4,8.6,93.4
1005,Male,18,2.6,74.1,74.8,69.2,65.2,8.8,68.9
1006,Female,17,3.3,82.3,74.3,69.8,80.4,6.2,77.8
1007,Male,18,3.1,79.6,80.3,87.1,91.5,8.3,88.4
1008,Male,18,3.9,81.2,80.1,83.2,81.5,6.4,82.2
1009,Male,19,4.9,80.4,86.3,96.5,82.5,7.2,89.4
1010,Female,18,6.1,75.4,93.3,73.3,88.0,6.1,85.3
1011,Male,18,6.4,83.8,92.0,86.5,99.2,9.4,92.6
1012,Male,19,5.7,72.4,84.8,88.7,84.6,6.7,85.4
1013,Male,18,2.9,90.9,92.1,85.8,93.1,7.1,89.7
1014,Male,18,4.5,87.6,85.3,94.0,88.8,6.2,87.3
1015,Female,18,8.8,77.6,100.0,100.0,100.0,9.0,95.6
1016,Male,17,6.3,78.0,94.0,96.6,88.2,9.1,95.4
1017,Female,17,3.7,84.5,82.6,82.8,91.3,8.8,85.6
1018,Female,17,7.3,74.8,89.8,100.0,100.0,8.1,96.4
1019,Female,19,3.8,98.3,77.4,78.6,83.9,6.3,80.6
1020,Male,21,3.3,85.2,75.3,86.3,69.8,7.9,75.8
1021,Female,18,7.0,85.5,100.0,90.1,100.0,7.0,94.5
1022,Male,18,2.1,88.1,72.7,84.0,80.4,8.4,78.4
1023,Female,19,1.1,76.8,68.9,63.8,76.5,8.2,72.1
1024,Female,18,6.2,91.8,99.3,100.0,100.0,6.3,97.4
1025,Female,17,4.5,83.0,83.7,88.8,89.8,8.0,82.1
1026,Female,21,4.7,90.6,93.8,100.0,89.1,7.8,93.5
1027,Female,20,3.8,80.2,65.5,77.6,73.8,4.0,74.5
1028,Female,18,4.1,93.9,86.1,92.6,89.0,7.9,85.8
1029,Female,17,3.7,85.6,82.3,77.4,86.8,6.5,79.6
1030,Female,20,3.4,100.0,84.1,83.6,88.3,6.0,85.7
1031,Male,21,3.8,78.7,66.5,82.6,95.8,6.1,86.1
1032,Male,20,3.8,83.8,91.6,71.8,89.5,6.9,81.3
1033,Female,17,3.0,72.7,69.4,66.9,79.3,7.5,68.7
1034,Female,20,3.5,77.2,80.0,84.2,76.4,5.5,81.1
1035,Female,19,1.0,87.6,71.7,72.5,77.5,7.2,76.1
1036,Male,20,5.7,92.2,100.0,90.4,90.8,7.6,92.6
1037,Female,18,5.2,100.0,100.0,90.8,100.0,9.0,93.5
1038,Male,18,4.3,81.1,71.8,78.6,89.6,5.8,80.4
1039,Male,19,4.9,73.6,78.3,86.3,85.9,6.6,84.6
1040,Male,17,5.0,88.8,90.4,94.5,88.5,7.3,94.8
1041,Male,18,3.2,71.8,68.8,62.9,66.4,8.3,67.3
1042,Male,21,3.5,87.1,87.7,94.8,93.5,6.7,93.6
1043,Female,18,5.5,77.5,95.7,100.0,95.8,8.3,96.7
1044,Female,18,4.9,83.9,88.9,67.8,91.5,4.9,87.2
1045,Female,17,8.2,91.8,100.0,100.0,94.4,5.6,97.5
1046,Female,20,7.4,81.0,100.0,100.0,100.0,7.4,98.8
1047,Female,18,6.2,90.4,83.0,94.3,93.0,5.4,93.6
1048,Male,19,3.1,89.9,80.0,71.1,81.4,5.7,74.4
1049,Female,20,3.5,65.2,69.1,85.1,71.5,6.4,71.7
1050,Female,21,2.7,73.9,82.7,75.7,67.1,7.8,75.8
1051,Male,17,5.0,67.9,65.7,86.8,92.5,4.9,81.1
1052,Female,21,1.0,100.0,74.9,94.9,88.1,7.2,85.4
1053,Male,20,3.7,81.1,84.8,86.2,85.0,8.1,87.3
1054,Female,20,3.9,98.0,78.7,81.0,85.5,6.8,79.7
1055,Male,20,1.8,67.3,63.7,68.0,70.0,6.6,67.2
1056,Female,21,5.9,76.8,89.5,85.1,91.0,7.4,87.7
